industry_id,section,title,content,image
ind-001,hero,玉林香料产业概览,玉林香料产业以八角、桂皮等香辛料为核心，形成“原料种植—分级加工—品牌销售—跨境流通”的完整链路，长期面向东南亚市场输出高品质香料产品。,images/industry/spice-hero.png
ind-001,history,发展脉络,从传统集市交易到标准化工厂加工，香料产业逐步完成品质分级与供应链升级。近年来通过冷链仓配和跨境电商，显著提升交付效率与品牌溢价。,images/placeholders/generic-placeholder.svg
ind-001,case,典型故事,本地企业与印尼渠道商共建“产地直采+海外分拨”模式，实现旺季订单稳定履约，带动周边种植户增收并形成可复制的出海样板。,images/placeholders/carousel-1.svg
ind-002,hero,玉林陶瓷产业概览,玉林陶瓷依托工艺基础与制造能力，形成日用陶瓷、文创陶瓷双线发展格局，在设计创新与柔性生产方面具备较强竞争力。,images/industry/ceramics-hero.png
ind-002,history,发展脉络,产业从传统窑烧逐步升级到数字化配釉、标准化烧制和多品类联动，产品定位由“代工”向“品牌+设计”转型。,images/placeholders/generic-placeholder.svg
ind-002,case,典型故事,陶瓷企业与高校设计团队联合开发东盟市场礼品线，以“文化主题+轻量包装”切入文旅零售场景，提升复购与品牌辨识度。,images/placeholders/carousel-2.svg
ind-003,hero,玉林番薯产业概览,番薯产业围绕种植、深加工与预制食品构建一体化体系，重点发力高附加值产品，如番薯粉、休闲食品和健康代餐品类。,images/industry/sweet-potato-hero.png
ind-003,history,发展脉络,通过品种改良、冷链协同和标准化加工，产业逐步完成从初级农产品到品牌食品的升级，产销稳定性明显提升。,images/placeholders/generic-placeholder.svg
ind-003,case,典型故事,企业在马来西亚渠道测试“低糖薯制品”后，根据消费反馈迭代包装和口味，最终实现线上线下联动销售增长。,images/placeholders/carousel-1.svg
ind-004,hero,玉林芒编产业概览,芒编产业以非遗技艺为根基，结合现代设计与文旅消费场景，形成“手工传承+标准化供给”的特色产业路径。,images/industry/mangweaving-hero.png
ind-004,history,发展脉络,从家庭作坊到合作社组织，芒编产业在品质分级、款式设计和订单协同方面持续完善，并逐步拓展海外礼品与家居市场。,images/placeholders/generic-placeholder.svg
ind-004,case,典型故事,在新加坡礼品渠道项目中，团队通过企业定制化图案和节庆主题组合包，打开了高频礼赠与活动采购市场。,images/placeholders/carousel-2.svg
